Index,Violation Date,Latitudes,Longitudes,Neighborhood District,Violation Item,Violation Item Description
771,09/14/2017,37.794137630029674,-122.39858493000001,Financial District/South Beach,REC,test and maintenance documentation
772,11/08/2017,37.77159653002966,-122.41899978,Mission,DOR,doors / blocked open
773,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,DOR,doors / self-closers
774,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,ELE,electrical / extension cords
775,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,ELE,electrical / hazards
776,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,EXI,exits / storage in pathway
777,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,EXI,exits / storage in pathway
778,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,REC,records / facility emergency plan
779,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,REC,test and maintenance documentation
780,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,STO,storage / no combustibles allowed
781,09/21/2017,37.789760150029664,-122.40252361,Financial District/South Beach,STO,storage / ceiling clearance
782,11/01/2017,37.715000540029614,-122.44198944999998,Excelsior,ALR,alarm system maintained
783,11/02/2017,37.75555718002963,-122.42007916999998,Mission,ALR,alarm system maintained
784,11/02/2017,37.75555718002963,-122.42007916999998,Mission,SPR,sprinkler / 5-year service
785,09/14/2017,37.794137630029674,-122.39858493000001,Financial District/South Beach,SPR,sprinkler / obstructions
786,10/21/2005,37.779641780029664,-122.47315061,Outer Richmond,EXI,1203  exit obstruction - fire escape
787,10/21/2005,37.79314437002966,-122.43331794,Pacific Heights,EXT,1001.5.1  extinguishers maintn yrly/after use
788,04/04/2017,37.78564387002965,-122.41041235000002,Tenderloin,DOR,doors / blocked open
793,10/28/2016,37.78287560002966,-122.4080699,South of Market,PER,permit / general
794,05/16/2017,37.772520000029644,-122.41661666,Mission,SPR,sprinkler / 5-year service
795,05/15/2017,37.789134380029665,-122.42658185000002,Pacific Heights,ILL,illumination / repair emergency lighting
796,05/15/2017,37.789134380029665,-122.42658185000002,Pacific Heights,PEN,penetrations/trash & linen chutes
797,05/15/2017,37.789134380029665,-122.42658185000002,Pacific Heights,PER,permit / general
798,05/15/2017,37.789134380029665,-122.42658185000002,Pacific Heights,REC,test and maintenance documentation
799,05/16/2017,37.78219552002966,-122.41649391,Tenderloin,SPR,sprinklers/ceiling clearance
800,05/16/2017,37.78219552002966,-122.41649391,Tenderloin,STO,storage / no combustibles allowed
